voltage time control
26.39 31.478721141815186 -794.7744042495577
26.37 31.576416969299316 -777.2866236384771
26.35 31.673426866531372 -765.460181798058
26.33 31.772157430648804 -744.5056236357162
26.31 31.871899843215942 -727.0484042512768
26.28 31.96971297264099 -683.442106388825
26.26 32.06737399101257 -680.7423761206288
26.24 32.16610312461853 -659.4704042538544
26.22 32.26483941078186 -640.9384042183053
26.2 32.365580797195435 -626.9463761426942
26.18 32.46131348609924 -605.110404256086
26.16 32.560059785842896 -586.0144042209856
26.13 32.65679407119751 -547.0850642230054
26.11 32.755311012268066 -533.7654042188202
26.09 32.85408878326416 -514.0114042496377
26.07 32.95278573036194 -493.73362363875276
26.05 33.05271077156067 -478.6071817987528
26.03 33.150450229644775 -454.86262363661575
26.01 33.249186277389526 -434.5854042509431
25.99 33.34797024726868 -418.57018180083037
25.97 33.4487464427948 -394.26762363873564
25.95 33.544398069381714 -373.4264042528172
25.93 33.64313316345215 -356.4913761189487
25.9 33.74145245552063 -306.3851063830833
25.88 33.841188192367554 -295.29540425439444
25.86 33.93796896934509 -273.37940422155725
25.84 34.034748792648315 -255.4633761439679
25.82 34.13149547576904 -230.24340421998824
25.8 34.229156255722046 -207.76340424961734
25.77 34.327890396118164 -158.94293546612727
25.75 34.42860388755798 -151.2691817993448
25.73 34.52610492706299 -124.73462363740335
25.71 34.62290668487549 -101.63740425050135
25.69 34.72157311439514 -82.32218180081634
25.67 34.82031536102295 -55.22962363891398
25.65 34.9190514087677 -31.56840425175707
25.63 35.01877737045288 -11.363376119736323
25.61 35.117515087127686 15.830595749610692
25.58 35.21433877944946 66.01689361494017
25.56 35.31298851966858 76.34662387882989
25.54 35.41371989250183 104.19859574846373
25.52 35.511467695236206 129.31059577873606
25.5 35.61026334762573 154.61059575033622
25.48 35.70893859863281 176.4506238562539
25.46 35.80723476409912 205.05459577751785
25.44 35.90697979927063 231.19137636164172
25.42 36.00393056869507 253.24781820076154
25.4 36.102450370788574 282.58259575040915
25.38 36.20118832588196 309.27737636084044
25.36 36.2989604473114 331.99381819987656
25.34 36.398667335510254 362.15537636156375
25.32 36.49539399147034 388.9185957500639
25.3 36.59512639045715 412.5238181992041
25.28 36.69387149810791 443.24337636085227
25.26 36.79060339927673 470.57059574959817
25.24 36.888423442840576 498.31459577776735
25.22 36.990076303482056 522.9886238587596
25.2 37.086814641952515 554.0365957493837
25.17 37.185749769210815 608.0768936578885
25.15 37.28448677062988 622.8756238584022
25.13 37.38621544837952 654.5815957771733
25.11 37.48295497894287 683.5475957503717
25.09 37.57869815826416 709.6386238584323
25.07 37.6794273853302 741.9085957767543
25.05 37.778552770614624 771.6723763606241
25.03 37.879271268844604 798.018818199199
25.0 37.97613835334778 856.7518936181835
24.98 38.075836420059204 876.5283763606533
24.96 38.17448925971985 903.6448181991306
24.94 38.27325463294983 937.526376360557
24.92 38.37095928192139 968.0495957506962
24.9 38.468249559402466 998.9895957511145
24.88 38.56792855262756 1027.369623878525
24.86 38.66566491127014 1061.6135957509457
24.85 38.76739239692688 1067.3852978952818
24.83 38.86617136001587 1106.948623859309
24.81 38.96196413040161 1141.6625957515278
24.79 39.060609340667725 1173.6365957762932
24.77 39.158350467681885 1203.2156238597622
24.76 39.25808882713318 1212.7612978948637
24.74 39.35681939125061 1255.8435957504669
24.72 39.454606771469116 1285.9676238605568
24.7 39.55329346656799 1321.7155957760874
24.68 39.65303373336792 1354.9203763597156
24.67 39.75176191329956 1361.1359091057207
24.65 39.849684953689575 1406.6115957505065
24.63 39.948429107666016 1440.2813763604488
24.61 40.0471625328064 1473.7185957518582
24.59 40.14589858055115 1505.2596238774902
24.58 40.244633436203 1516.4972978833605
24.56 40.34336829185486 1561.2715957528633
24.54 40.442102909088135 1593.357623878188
24.52 40.54083800315857 1630.7975957520016
24.51 40.64058041572571 1639.7652978937729
24.49 40.739309310913086 1683.034623859668
24.47 40.838042974472046 1720.9445957532805
24.45 40.940773725509644 1756.1145957754811
24.43 41.033520460128784 1789.399623860818
24.42 41.132256269454956 1802.1412978933547
24.4 41.22783088684082 1848.4195957503512
24.39 41.32756567001343 1858.5686881873362
24.37 41.427377223968506 1902.9278181977877
24.35 41.52404046058655 1942.2963763588295
24.34 41.622779846191406 1952.6332978836476
24.33 41.721569538116455 1973.4559091070746
24.32 41.823235511779785 1996.4416881873578
24.3 41.9199800491333 2043.5455957528363
24.29 42.019710540771484 2054.581297892957
24.28 42.115535497665405 2075.9653119380096
24.27 42.215189695358276 2099.291297886729
24.26 42.312928199768066 2121.2472978943147
24.25 42.41066813468933 2142.958311939545
24.24 42.51040506362915 2166.566297892711
24.23 42.6092848777771 2188.804297882685
24.23 42.70502543449402 2186.559000019215
24.22 42.803850412368774 2219.5292978942134
24.21 42.90557813644409 2241.9906881856105
24.21 43.00232124328613 2239.928000011712
24.21 43.101057291030884 2247.3540000149496
24.2 43.20010280609131 2280.546688187229
24.2 43.29553413391113 2277.314000017708
24.2 43.39426946640015 2286.034000012791
24.2 43.493009090423584 2293.554000016069
24.2 43.59374976158142 2301.0740000193473
24.2 43.689870834350586 2309.7940000144304
24.2 43.788604497909546 2317.314000017708
24.2 43.88734197616577 2324.834000011673
24.2 43.9889178276062 2333.5540000160695
24.21 44.085668325424194 2315.3417021515997
24.22 44.18440389633179 2307.6737021325475
24.22 44.28213882446289 2326.814000017709
24.23 44.379870653152466 2308.4137021310185
24.24 44.482675313949585 2300.5577021473146
24.24 44.57734179496765 2318.26400001452
24.25 44.67811918258667 2302.4230909214048
24.26 44.77581453323364 2292.643311840187
24.27 44.87255549430847 2284.619702148279
24.28 44.97238254547119 2279.087090922906
24.29 45.07211756706238 2269.0283118417165
24.31 45.16985487937927 2234.990404281934
24.32 45.26760244369507 2239.504688081377
24.33 45.36772012710571 2229.3387021482054
24.35 45.46446180343628 2194.8104042831555
24.37 45.56445288658142 2174.605376151135
24.38 45.66194295883179 2173.1437021495353
24.4 45.76067805290222 2138.1454042509554
24.42 45.85741329193115 2113.5974042796743
24.44 45.958141803741455 2092.6293761741995
24.46 46.05687689781189 2064.777404252332
24.49 46.15661120414734 2013.538935495371
24.51 46.25434970855713 2003.0051818289394
24.53 46.355082988739014 1974.328404279591
24.55 46.45082426071167 1948.2846236691103
24.57 46.55255889892578 1926.3381818299763
