temp time control
26.28 20.03208303451538 2776.0451063975506
26.31 20.131814002990723 2733.7311063679135
26.34 20.230554342269897 2693.517064237238
26.38 20.33132314682007 2625.514808490081
26.41 20.430025100708008 2592.8991064047023
26.44 20.52775526046753 2551.5950642339553
26.48 20.62549662590027 2482.652808487553
26.51 20.72523546218872 2448.9049354936556
26.54 20.82297682762146 2406.9502727380122
26.57 20.92279052734375 2357.5501064046566
26.61 21.021345853805542 2291.4812473176303
26.64 21.11509346961975 2257.1611063989853
26.67 21.213828086853027 2213.35006421702
26.7 21.31564974784851 2162.978106402289
26.73 21.411394834518433 2116.716106395195
26.77 21.510137796401978 2052.640752282069
26.8 21.607868432998657 2010.5031063986978
26.84 21.71259355545044 1942.5688084921783
26.87 21.804344177246094 1905.629106404915
26.9 21.902086973190308 1859.3110642316472
26.93 22.000826358795166 1806.77710636951
26.96 22.102257251739502 1758.2059354950302
27.0 22.199330806732178 1692.1003636479627
27.03 22.298604011535645 1647.4671064047873
27.06 22.397420644760132 1597.9659354908545
27.09 22.495073556900024 1549.9612727359688
27.12 22.594807863235474 1495.25993549515
27.15 22.692540407180786 1445.393106401628
27.18 22.791276931762695 1396.055272731586
27.21 22.891015768051147 1340.5169354908257
27.23 22.989843368530273 1310.5364042646747
27.26 23.08654022216797 1249.656064218632
27.29 23.18622398376465 1193.738106401483
27.31 23.28395986557007 1162.662404259718
27.34 23.383697986602783 1100.9100642141666
27.36 23.485448122024536 1064.9724042644298
27.39 23.581170082092285 1001.8681063752282
27.41 23.679242610931396 969.8524042725827
27.44 23.777979850769043 907.0100642286365
27.46 23.87480854988098 870.132404251382
27.48 23.977436780929565 826.8396236691614
27.5 24.0721914768219 782.6631818341206
27.52 24.171926498413086 735.8804042725164
27.53 24.269757509231567 712.875311836771
27.55 24.36939239501953 657.3961818290051
27.56 24.46613383293152 631.0173118420083
27.58 24.565863847732544 576.2414042688262
27.59 24.665602207183838 549.9370909157831
27.61 24.76437473297119 493.2496236639567
27.62 24.862071990966797 469.48870213110763
27.63 24.96185541152954 432.2856880832025
27.64 25.060545444488525 396.00570213645534
27.65 25.15932011604309 361.09570212560203
27.65 25.2610125541687 346.8240000132936
27.66 25.35679054260254 298.6556880766937
27.67 25.456482887268066 262.0937021379365
27.67 25.560288906097412 247.63400000787473
27.67 25.651962757110596 218.5309999932037
27.68 25.75104856491089 172.70070213254695
27.68 25.84878945350647 158.41500001516982
27.69 25.946524620056152 109.73409092686089
27.69 26.044307470321655 93.53900000790283
27.69 26.143000841140747 68.52200000965647
27.69 26.24181318283081 43.23599999863337
27.69 26.341469049453735 13.91500001516821
27.69 26.440213203430176 -11.370999995854891
27.69 26.53898048400879 -36.65700000687799
27.69 26.63668131828308 -65.97799999034315
27.69 26.736416578292847 -91.26400000136626
27.68 26.840142488479614 -95.81770210026806
27.68 26.934896230697632 -135.66799999587386
27.68 27.03362202644348 -160.86000000685584
27.67 27.1360182762146 -165.31970210584024
27.66 27.231096506118774 -185.77768807934865
27.66 27.331918954849243 -219.9559999812646
27.65 27.42855978012085 -224.22770212441765
27.64 27.528300523757935 -244.46768808465157
27.64 27.62902522087097 -278.45799998671515
27.63 27.72676730155945 -282.16431181220076
27.62 27.823506832122803 -302.64609088927926
27.61 27.92324137687683 -315.6327021243306
27.6 28.020071744918823 -329.6983118175476
27.59 28.118821620941162 -349.8500908946573
27.58 28.216461181640625 -362.1823118122402
27.57 28.317524194717407 -376.4547021278715
27.56 28.413956880569458 -390.5187021383565
27.55 28.512670278549194 -409.7776880586113
27.53 28.610400438308716 -401.45740426535133
27.52 28.709146738052368 -425.7837021008651
27.51 28.80986714363098 -444.6066880735596
27.5 28.905654907226562 -456.642702138077
